gene	TCGA-DD-AA3A-01A	TCGA-CC-A8HV-01A	TCGA-2Y-A9H2-01A	TCGA-DD-AAD8-01A	TCGA-DD-A3A7-01A	TCGA-FV-A3I0-01A	TCGA-WX-AA44-01A	TCGA-G3-A25T-01A	TCGA-WJ-A86L-01A	TCGA-BC-A10Q-01A	k_value	p_value	groupA_median	groupB_median	fc_median
RP11-247A12.1	0	14.2910485301903	12.1192478613614	12.1392933056997	0	0	0	0	13.0888014239769	0	17	0.346521711706107	12.1192478613614	0	12.1192478613614
CTD-2528L19.4	0	0	0	0	0	0	0	0	10.8008227646693	0	10	0.423710797166793	0	0	0
MTND6P7	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
EVX1	11.7455450363867	8.68877462142857	14.9130799151195	10.6634439292701	11.587203500143	16.1946590867267	11.0206476016322	11.7150467741743	10.2914400231119	13.2810620835797	10	0.69047619047619	11.7455450363867	11.587203500143	0.1583415362437
GLYATL1P1	8.72216476506415	10.3324386195975	8.38597777305175	10.9873818943099	0	0	0	0	11.5742365706881	11.1499896384251	13.5	0.914183549889683	10.9873818943099	0	10.9873818943099
MAP9	13.8032917213538	10.4548618307933	14.9636497507081	9.94072911590369	9.96442125040072	14.3816170410881	11.5732572090105	14.4191124600701	10.1126188458258	14.9185170803224	8	0.420634920634921	13.8032917213538	11.5732572090105	2.2300345123433
RNU7-147P	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RNU1-47P	0	12.0481235257786	14.005100570881	15.0251060123579	16.3118309533259	0	15.3824953914676	0	17.2377688345917	12.6436512245379	13	1	14.005100570881	12.0481235257786	1.9569770451024
APIP	16.3901142689421	17.0740525954734	16.137859628761	17.0032158397868	14.412649975718	16.349796056602	16.8026597297301	16.5020619168131	16.5385902502165	16.339978747744	12	1	16.3901142689421	16.5020619168131	-0.111947647871002
AC010295.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP11-430H12.2	8.56134813352451	0	0	14.4884783879576	0	0	0	10.6767618146382	0	0	15	0.607235543774111	0	0	0
MAF1	20.4823679784762	20.2802760160857	20.7489176718522	18.8070456512139	21.5998711838762	20.3494584969333	21.0706132605341	21.2115411765043	19.5580903041426	20.1641691932829	13	1	20.1641691932829	21.0706132605341	-0.906444067251201
RP1-274L7.3	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
FOXP1	17.1354644111314	16.7530118592009	16.8386355760002	17.5227665583835	17.6684779207192	16.8875208968945	17.5481386704971	17.2830588510253	15.9607485001225	18.1873158669566	11	0.841269841269841	17.1354644111314	17.2830588510253	-0.147594439893897
OR5L2	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
PLCE1	15.6280959983097	14.3631834917865	13.8453298181387	15.2684816654091	13.3734338987344	14.0535187967836	13.6583770508072	13.0267328348683	14.9575010541602	12.6210188954054	19	0.222222222222222	14.9575010541602	13.6583770508072	1.299124003353
PRAMEF4	0	10.1466963481698	0	13.8008760396173	10.6554607542735	0	8.89816643472977	0	14.1351813308016	0	15	0.655836496590659	0	8.89816643472977	-8.89816643472977
RAD17	17.7825544332309	16.8028627960705	16.5720491456555	17.1305142272935	16.9073989908148	16.8904854033276	16.7035357565229	17.2190172564873	17.3074399138849	17.8006544642994	9	0.547619047619048	17.3074399138849	16.8904854033276	0.4169545105573
RP11-550F7.1	12.4916095032805	10.9347459250033	12.739446596637	0	0	13.9265229282638	9.27102455825355	11.4403093642447	0	13.4366723536202	9	0.525808953452939	12.4916095032805	10.9347459250033	1.5568635782772
AC005086.2	0	0	0	0	0	0	0	0	11.6422270155127	0	10	0.423710797166793	0	0	0
RP11-270L13.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
CICP17	0	0	0	8.84008811366431	0	0	0	0	0	8.78051223511235	13	1	0	0	0
SPCS2	19.1465088078872	19.2849012424216	18.6565425830068	18.1892831870185	19.3685141382885	19.056836968925	19.1440510113267	18.6525529785115	18.4547606935955	18.3057409842087	18	0.30952380952381	18.4547606935955	19.1440510113267	-0.689290317731199
RP11-493L12.6	0	15.8940343256434	10.1382758044327	14.742060188244	0	0	0	0	13.3292399943978	0	18	0.239316541221495	10.1382758044327	0	10.1382758044327
DGCR11	15.4756594191417	12.8078346396616	15.5918279310454	14.8221161514838	13.9632296963035	15.5363905189346	14.8476178882456	15.6100606883725	14.6079616704362	15.4419892353448	8	0.420634920634921	15.4419892353448	14.8476178882456	0.5943713470992
SETDB2	15.1108223641079	14.6455631964885	14.8265080466902	16.0048958470987	15.6309344756038	13.5444498627162	15.3067957572812	15.151327963172	14.1460700808478	14.9416354044398	17	0.420634920634921	14.9416354044398	15.151327963172	-0.209692558732199
RP13-554M15.2	12.5500246973117	13.9467215192415	12.3284559966486	12.6480104572413	11.0872025103814	12.1966668785621	0	8.50219959627031	13.919469225362	12.0478491608063	19	0.222222222222222	12.5500246973117	11.0872025103814	1.4628221869303
