NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GLYCOSAMINOGLYCAN BIOSYNTHESIS - CHONDROITIN SULFATE / DERMATAN SULFATE	GLYCOSAMINOGLYCAN BIOSYNTHESIS - CHONDROITIN SULFATE / DERMATAN SULFATE		20	0.31918254	0.78707576	0.6651054	0.9839574	0.999	7137	tags=40%, list=37%, signal=63%	
GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIO SERIES	GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIO SERIES		15	0.30875215	0.7817344	0.7223427	0.9907011	0.999	6038	tags=33%, list=31%, signal=48%	
OTHER TYPES OF O-GLYCAN BIOSYNTHESIS	OTHER TYPES OF O-GLYCAN BIOSYNTHESIS		22	0.27032903	0.7743428	0.7477064	1.0	0.999	3827	tags=23%, list=20%, signal=28%	
RETROGRADE ENDOCANNABINOID SIGNALING	RETROGRADE ENDOCANNABINOID SIGNALING		140	0.18079643	0.77419174	0.8356546	0.99550813	0.999	4185	tags=19%, list=22%, signal=24%	
CARBON METABOLISM	CARBON METABOLISM		115	0.22418657	0.76901	0.7393617	1.0	0.999	8887	tags=41%, list=46%, signal=75%	
CHOLESTEROL METABOLISM	CHOLESTEROL METABOLISM		49	0.21032204	0.76511604	0.75645757	1.0	0.999	7931	tags=39%, list=41%, signal=65%	
HYPERTROPHIC CARDIOMYOPATHY (HCM)	HYPERTROPHIC CARDIOMYOPATHY (HCM)		90	0.21174239	0.758642	0.7663044	1.0	0.999	3496	tags=21%, list=18%, signal=26%	
MUCIN TYPE O-GLYCAN BIOSYNTHESIS	MUCIN TYPE O-GLYCAN BIOSYNTHESIS		29	0.26384437	0.74991405	0.78055555	1.0	0.999	7510	tags=38%, list=39%, signal=62%	
PROTEOGLYCANS IN CANCER	PROTEOGLYCANS IN CANCER		200	0.19959855	0.74577963	0.8208556	1.0	0.999	8594	tags=40%, list=44%, signal=71%	
PLATINUM DRUG RESISTANCE	PLATINUM DRUG RESISTANCE		72	0.20049335	0.7446304	0.8348416	1.0	0.999	4824	tags=22%, list=25%, signal=29%	
IL-17 SIGNALING PATHWAY	IL-17 SIGNALING PATHWAY		91	0.21258311	0.74449134	0.79635257	1.0	0.999	7690	tags=35%, list=40%, signal=58%	
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY (ARVC)	ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY (ARVC)		77	0.21211468	0.74006665	0.78457445	1.0	0.999	10043	tags=53%, list=52%, signal=110%	
PROSTATE CANCER	PROSTATE CANCER		97	0.20059283	0.7271131	0.80878556	1.0	0.999	9557	tags=44%, list=49%, signal=87%	
RENIN SECRETION	RENIN SECRETION		66	0.20575336	0.7254052	0.8705234	1.0	0.999	3077	tags=18%, list=16%, signal=22%	
INSULIN RESISTANCE	INSULIN RESISTANCE		106	0.19768561	0.7242943	0.85106385	1.0	0.999	8556	tags=39%, list=44%, signal=69%	
TUBERCULOSIS	TUBERCULOSIS		174	0.2029714	0.7219928	0.77272725	1.0	1.0	5443	tags=28%, list=28%, signal=39%	
TOLL-LIKE RECEPTOR SIGNALING PATHWAY	TOLL-LIKE RECEPTOR SIGNALING PATHWAY		103	0.20853597	0.7115603	0.7619048	1.0	1.0	8737	tags=40%, list=45%, signal=72%	
SPLICEOSOME	SPLICEOSOME		132	0.23703308	0.7097352	0.71428573	1.0	1.0	8942	tags=43%, list=46%, signal=79%	
INSULIN SECRETION	INSULIN SECRETION		86	0.18206891	0.7030883	0.8932384	1.0	1.0	7111	tags=34%, list=37%, signal=53%	
HIPPO SIGNALING PATHWAY - MULTIPLE SPECIES	HIPPO SIGNALING PATHWAY - MULTIPLE SPECIES		28	0.25549257	0.70196533	0.8130841	1.0	1.0	609	tags=11%, list=3%, signal=11%	
HEPATITIS B	HEPATITIS B		162	0.1970844	0.68785477	0.81938326	1.0	1.0	8856	tags=42%, list=46%, signal=77%	
UBIQUITIN MEDIATED PROTEOLYSIS	UBIQUITIN MEDIATED PROTEOLYSIS		133	0.21610904	0.68778294	0.8216433	1.0	1.0	9706	tags=50%, list=50%, signal=99%	
PRION DISEASES	PRION DISEASES		34	0.20714095	0.68149376	0.91525424	1.0	1.0	8210	tags=44%, list=42%, signal=76%	
GLIOMA	GLIOMA		74	0.18828234	0.66813344	0.9270833	1.0	1.0	6526	tags=26%, list=34%, signal=39%	
GLYCOSAMINOGLYCAN DEGRADATION	GLYCOSAMINOGLYCAN DEGRADATION		19	0.23472552	0.66652906	0.86288416	1.0	1.0	9981	tags=58%, list=51%, signal=119%	
TERPENOID BACKBONE BIOSYNTHESIS	TERPENOID BACKBONE BIOSYNTHESIS		22	0.24873446	0.66321355	0.84792626	1.0	1.0	9675	tags=59%, list=50%, signal=118%	
RAS SIGNALING PATHWAY	RAS SIGNALING PATHWAY		224	0.16879876	0.6603351	0.9380054	1.0	1.0	6715	tags=28%, list=35%, signal=42%	
FATTY ACID ELONGATION	FATTY ACID ELONGATION		27	0.21059558	0.6552729	0.9240506	1.0	1.0	8226	tags=30%, list=42%, signal=51%	
CGMP-PKG SIGNALING PATHWAY	CGMP-PKG SIGNALING PATHWAY		164	0.17106333	0.6362391	0.9265092	1.0	1.0	7195	tags=32%, list=37%, signal=50%	
RENAL CELL CARCINOMA	RENAL CELL CARCINOMA		65	0.20336549	0.63482547	0.89041096	1.0	1.0	7069	tags=28%, list=36%, signal=43%	
REGULATION OF ACTIN CYTOSKELETON	REGULATION OF ACTIN CYTOSKELETON		211	0.16354904	0.63285285	0.97319037	1.0	1.0	8857	tags=40%, list=46%, signal=73%	
AMPK SIGNALING PATHWAY	AMPK SIGNALING PATHWAY		120	0.16800791	0.63167673	0.9670886	1.0	1.0	5482	tags=24%, list=28%, signal=33%	
NOD-LIKE RECEPTOR SIGNALING PATHWAY	NOD-LIKE RECEPTOR SIGNALING PATHWAY		171	0.16660202	0.62926507	0.9322034	1.0	1.0	5707	tags=25%, list=29%, signal=35%	
ADHERENS JUNCTION	ADHERENS JUNCTION		67	0.19513991	0.6260923	0.8855835	1.0	1.0	6594	tags=25%, list=34%, signal=38%	
CHOLINERGIC SYNAPSE	CHOLINERGIC SYNAPSE		112	0.16851465	0.62283635	0.9479452	1.0	1.0	3691	tags=17%, list=19%, signal=21%	
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM		40	0.17822346	0.6220443	0.9447514	1.0	1.0	8860	tags=43%, list=46%, signal=78%	
2-OXOCARBOXYLIC ACID METABOLISM	2-OXOCARBOXYLIC ACID METABOLISM		17	0.23985347	0.6186138	0.8819277	1.0	1.0	11423	tags=71%, list=59%, signal=171%	
HUMAN IMMUNODEFICIENCY VIRUS 1 INFECTION	HUMAN IMMUNODEFICIENCY VIRUS 1 INFECTION		204	0.1632907	0.61847526	0.94382024	1.0	1.0	3197	tags=15%, list=16%, signal=17%	
NON-SMALL CELL LUNG CANCER	NON-SMALL CELL LUNG CANCER		66	0.17765345	0.61679643	0.94930875	1.0	1.0	6495	tags=24%, list=33%, signal=36%	
MITOPHAGY - ANIMAL	MITOPHAGY - ANIMAL		62	0.18703105	0.61571896	0.92197126	1.0	1.0	4218	tags=16%, list=22%, signal=21%	
KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION	KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION		183	0.1665105	0.61479366	0.93541205	1.0	1.0	6734	tags=27%, list=35%, signal=41%	
BETA-ALANINE METABOLISM	BETA-ALANINE METABOLISM		33	0.18320028	0.61213243	0.96130955	1.0	1.0	5960	tags=24%, list=31%, signal=35%	
HUMAN CYTOMEGALOVIRUS INFECTION	HUMAN CYTOMEGALOVIRUS INFECTION		222	0.15723798	0.6118619	0.96897376	1.0	1.0	3197	tags=14%, list=16%, signal=16%	
LONGEVITY REGULATING PATHWAY	LONGEVITY REGULATING PATHWAY		89	0.16701497	0.6111151	0.93779904	1.0	1.0	8159	tags=31%, list=42%, signal=54%	
VEGF SIGNALING PATHWAY	VEGF SIGNALING PATHWAY		58	0.17685759	0.6097311	0.96268654	1.0	1.0	3576	tags=17%, list=18%, signal=21%	
NEUROTROPHIN SIGNALING PATHWAY	NEUROTROPHIN SIGNALING PATHWAY		117	0.18015158	0.6074948	0.9348837	1.0	1.0	9964	tags=44%, list=51%, signal=91%	
ENDOCRINE RESISTANCE	ENDOCRINE RESISTANCE		95	0.16428475	0.60397923	0.96107054	1.0	1.0	10313	tags=44%, list=53%, signal=94%	
NOTCH SIGNALING PATHWAY	NOTCH SIGNALING PATHWAY		48	0.19282015	0.60235673	0.93777776	1.0	1.0	11083	tags=67%, list=57%, signal=155%	
ENDOCYTOSIS	ENDOCYTOSIS		233	0.16401571	0.6023092	0.9461358	1.0	1.0	8755	tags=36%, list=45%, signal=64%	
LEGIONELLOSIS	LEGIONELLOSIS		55	0.18507728	0.60036993	0.9472422	1.0	1.0	9405	tags=45%, list=48%, signal=88%	
RAP1 SIGNALING PATHWAY	RAP1 SIGNALING PATHWAY		205	0.15462331	0.59773535	0.9701897	1.0	1.0	6676	tags=27%, list=34%, signal=40%	
EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION	EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION		70	0.1751078	0.59498376	0.96411484	1.0	1.0	7099	tags=26%, list=37%, signal=40%	
DOPAMINERGIC SYNAPSE	DOPAMINERGIC SYNAPSE		130	0.15350518	0.5916608	0.97771585	1.0	1.0	5570	tags=21%, list=29%, signal=29%	
FC EPSILON RI SIGNALING PATHWAY	FC EPSILON RI SIGNALING PATHWAY		66	0.17037876	0.58474934	0.973236	1.0	1.0	7383	tags=29%, list=38%, signal=46%	
VASOPRESSIN-REGULATED WATER REABSORPTION	VASOPRESSIN-REGULATED WATER REABSORPTION		44	0.18050021	0.5781923	0.9292035	1.0	1.0	6288	tags=23%, list=32%, signal=34%	
CITRATE CYCLE (TCA CYCLE)	CITRATE CYCLE (TCA CYCLE)		30	0.23190376	0.5708483	0.8691796	1.0	1.0	6969	tags=33%, list=36%, signal=52%	
PROTEIN EXPORT	PROTEIN EXPORT		23	0.22174872	0.56347114	0.88912135	1.0	1.0	9168	tags=48%, list=47%, signal=90%	
PHOSPHOLIPASE D SIGNALING PATHWAY	PHOSPHOLIPASE D SIGNALING PATHWAY		146	0.15588126	0.5596062	0.9871134	1.0	1.0	6094	tags=23%, list=31%, signal=34%	
CELLULAR SENESCENCE	CELLULAR SENESCENCE		156	0.14810887	0.5375722	0.9804401	1.0	1.0	4232	tags=17%, list=22%, signal=21%	
T CELL RECEPTOR SIGNALING PATHWAY	T CELL RECEPTOR SIGNALING PATHWAY		101	0.16813597	0.5354849	0.9633621	1.0	1.0	4008	tags=16%, list=21%, signal=20%	
AUTOPHAGY - OTHER	AUTOPHAGY - OTHER		31	0.17732836	0.52526414	0.9717742	1.0	1.0	8384	tags=32%, list=43%, signal=57%	
ECM-RECEPTOR INTERACTION	ECM-RECEPTOR INTERACTION		85	0.14797291	0.5248271	0.98507464	1.0	1.0	10205	tags=52%, list=53%, signal=109%	
APELIN SIGNALING PATHWAY	APELIN SIGNALING PATHWAY		134	0.1430118	0.51802236	0.9875	1.0	1.0	4079	tags=16%, list=21%, signal=21%	
EGFR TYROSINE KINASE INHIBITOR RESISTANCE	EGFR TYROSINE KINASE INHIBITOR RESISTANCE		79	0.14622834	0.51604116	1.0	1.0	1.0	9976	tags=46%, list=51%, signal=93%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS		44	0.17773008	0.5134971	0.9298246	1.0	1.0	6749	tags=27%, list=35%, signal=42%	
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	PHOSPHATIDYLINOSITOL SIGNALING SYSTEM		96	0.15310492	0.49824437	0.99071926	1.0	1.0	9457	tags=44%, list=49%, signal=85%	
PANCREATIC CANCER	PANCREATIC CANCER		75	0.15586294	0.4962578	0.99313504	1.0	1.0	7909	tags=28%, list=41%, signal=47%	
VALINE  LEUCINE AND ISOLEUCINE DEGRADATION	VALINE  LEUCINE AND ISOLEUCINE DEGRADATION		47	0.16507426	0.49106926	0.97447795	1.0	1.0	7250	tags=28%, list=37%, signal=44%	
CHOLINE METABOLISM IN CANCER	CHOLINE METABOLISM IN CANCER		98	0.13467768	0.48758933	0.997416	1.0	1.0	10083	tags=42%, list=52%, signal=87%	
FERROPTOSIS	FERROPTOSIS		40	0.1406091	0.47924426	0.9949495	1.0	1.0	2960	tags=13%, list=15%, signal=15%	
SPHINGOLIPID SIGNALING PATHWAY	SPHINGOLIPID SIGNALING PATHWAY		119	0.1363555	0.47830847	0.99527186	1.0	1.0	9134	tags=38%, list=47%, signal=71%	
INOSITOL PHOSPHATE METABOLISM	INOSITOL PHOSPHATE METABOLISM		74	0.14358495	0.46714857	0.9955457	1.0	1.0	9012	tags=42%, list=46%, signal=78%	
APOPTOSIS	APOPTOSIS		134	0.117096886	0.43368018	0.9976852	1.0	1.0	6486	tags=22%, list=33%, signal=33%	
AFRICAN TRYPANOSOMIASIS	AFRICAN TRYPANOSOMIASIS		36	0.1271088	0.42721412	0.99681526	1.0	1.0	9012	tags=39%, list=46%, signal=72%	
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM		47	0.13326272	0.42173922	0.9975845	1.0	1.0	9260	tags=38%, list=48%, signal=73%	
AUTOPHAGY - ANIMAL	AUTOPHAGY - ANIMAL		126	0.12611614	0.41565922	0.9957537	1.0	1.0	10980	tags=45%, list=57%, signal=103%	
PROPANOATE METABOLISM	PROPANOATE METABOLISM		33	0.14506279	0.41360703	0.98815167	1.0	1.0	830	tags=6%, list=4%, signal=6%	
HERPES SIMPLEX VIRUS 1 INFECTION	HERPES SIMPLEX VIRUS 1 INFECTION		476	0.11902075	0.40508386	1.0	1.0	1.0	9144	tags=37%, list=47%, signal=68%	
SALMONELLA INFECTION	SALMONELLA INFECTION		81	0.12128813	0.40000403	1.0	1.0	1.0	10327	tags=42%, list=53%, signal=89%	
RNA DEGRADATION	RNA DEGRADATION		74	0.11998316	0.39510617	1.0	0.99855304	1.0	10560	tags=46%, list=54%, signal=100%	
TNF SIGNALING PATHWAY	TNF SIGNALING PATHWAY		111	0.09931527	0.31533465	1.0	0.9990661	1.0	8869	tags=32%, list=46%, signal=59%	
