aaa	T01445	Acidovorax avenae
csb	T02876	Clostridium saccharobutylicum
csc	T00506	Caldicellulosiruptor saccharolyticus
csd	T02527	Thermoclostridium stercorarium subsp. stercorarium DSM 8532
cse	T01221	Caulobacter segnis
csem	T04866	Cynoglossus semilaevis (tongue sole)
cser	T04892	Comamonas serinivorans
csf	T03572	Campylobacter subantarcticus LMG 24377
csg	T02398	Cylindrospermum stagnale
csh	T01288	Clostridium saccharolyticum WM1
csha	T05920	Chryseobacterium shandongense
csi	T02955	Cronobacter malonaticus CMCC45402
csj	T03903	Cronobacter sakazakii ATCC 29544
csk	T02119	Cronobacter sakazakii ES15
csl	T02914	Coccomyxa subellipsoidea
csm	T03571	Campylobacter subantarcticus LMG 24374
csn	T02377	Cyanobacterium stanieri
cso	T02614	Clostridium cf. saccharolyticum K10
csp	T04316	Corynebacterium simulans
cspf	T04992	Campylobacter sputorum
csph	T05122	Corynebacterium sphenisci
cspu	T05393	Capnocytophaga sputigena
csq	T03803	Clostridium scatologenes
csr	T02467	Clostridium saccharoperbutylacetonicum
css	T02440	Thermoclostridium stercorarium subsp. stercorarium DSM 8532
cst	T01334	Acetoanaerobium sticklandii
csta	T04724	Corynebacterium stationis
csto	T05529	Capnocytophaga stomatis
cstr	T05059	Corynebacterium striatum
csu	T02904	Candidatus Caldiarchaeum subterraneum
csv	T02486	Cucumis sativus (cucumber)
csw	T01966	Chlamydia trachomatis Sweden2
csx	T03630	Corynebacterium singulare
csy	T01380	Cenarchaeum symbiosum
csz	T02461	Cronobacter sakazakii Sp291
cta	T00280	Chlamydia trachomatis A/HAR-13
ctae	T04957	Clostridium taeniosporum
ctak	T05512	Chryseobacterium taklimakanense
ctb	T00645	Chlamydia trachomatis 434/Bu
ctc	T00112	Clostridium tetani E88
ctcf	T02763	Chlamydia trachomatis RC-F/69
ctch	T02805	Chlamydia trachomatis F/11-96
ctcj	T02766	Chlamydia trachomatis RC-J/943
ctct	T02966	Chlamydia trachomatis C/TW-3
ctd	T01900	Chlamydia trachomatis D-EC
cte	T00088	Chlorobaculum tepidum
ctec	T03168	Chlamydia trachomatis E/C599
cted	T03956	Corynebacterium testudinoris
cten	T03099	Yamadazyma tenuis
cter	T02714	Corynebacterium terpenotabidum
ctes	T03218	Comamonas testosteroni TK102
ctet	T02905	Clostridium tetani 12124569
ctf	T01901	Chlamydia trachomatis D-LC
ctfs	T02764	Chlamydia trachomatis RC-F(s)/342
ctfw	T03169	Chlamydia trachomatis F/SWFPminus
ctg	T01902	Chlamydia trachomatis E/11023
cth	T00474	Hungateiclostridium thermocellum ATCC 27405
cthd	T05300	Pseudoclostridium thermosuccinogenes
cthe	T02360	Chroococcidiopsis thermalis
cthf	T02765	Chlamydia trachomatis RC-F(s)/852
cthi	T04224	Caldimicrobium thiodismutans
cthj	T02767	Chlamydia trachomatis RC-J/953
cthm	T05389	Carboxydocella thermautotrophica
cthr	T03100	Chaetomium thermophilum
cti	T00702	Cupriavidus taiwanensis
ctj	T00960	Chlamydia trachomatis B/Jali20/OT
ctjs	T02770	Chlamydia trachomatis RC-J(s)/122
ctjt	T02762	Chlamydia trachomatis J/6276tet1
ctk	T01903	Chlamydia trachomatis E/150
ctl	T00646	Chlamydia trachomatis L2b/UCH-1/proctitis
ctla	T02574	Chlamydia trachomatis L2b/Ams2
ctlb	T02572	Chlamydia trachomatis L2b/795
ctlc	T02567	Chlamydia trachomatis L2b/Canada1
ctlf	T02621	Chlamydia trachomatis L2/434/Bu(f)
ctli	T02622	Chlamydia trachomatis L2/434/Bu(i)
ctlj	T02569	Chlamydia trachomatis L1/115
ctll	T02571	Chlamydia trachomatis L1/440/LN
ctlm	T02575	Chlamydia trachomatis L2b/Ams3
ctln	T02568	Chlamydia trachomatis L2b/Canada2
ctlq	T02573	Chlamydia trachomatis L2b/8200/07
ctls	T02576	Chlamydia trachomatis L2b/Ams4
ctlx	T02570	Chlamydia trachomatis L1/224
ctlz	T02577	Chlamydia trachomatis L2b/Ams5
ctm	T01629	Chloracidobacterium thermophilum
ctmj	T02768	Chlamydia trachomatis RC-J/966
ctn	T01904	Chlamydia trachomatis G/11074
cto	T01574	Chlamydia trachomatis L2c
ctp	T01115	Candida tropicalis
ctq	T01905	Chlamydia trachomatis G/11222
ctr	T00017	Chlamydia trachomatis D/UW-3/CX
ctra	T02540	Chlamydia trachomatis IU888
ctrb	T02547	Chlamydia trachomatis E/Bour
ctrc	T02771	Chlamydia trachomatis RC-L2/55
ctrd	T02551	Chlamydia trachomatis D/SotonD1
ctre	T02555	Chlamydia trachomatis E/SotonE4
ctrf	T02552	Chlamydia trachomatis F/SotonF3
ctrg	T02553	Chlamydia trachomatis G/SotonG1
ctrh	T02565	Chlamydia trachomatis Ia/SotonIa1
ctri	T02493	Chlamydia trachomatis IU824
ctrj	T02566	Chlamydia trachomatis Ia/SotonIa3
ctrk	T02546	Chlamydia trachomatis K/SotonK1
ctrl	T02549	Chlamydia trachomatis L2b/LST
ctrm	T02558	Chlamydia trachomatis L2b/Ams1
ctrn	T02550	Chlamydia trachomatis L3/404/LN
ctro	T02560	Chlamydia trachomatis D/SotonD5
ctrp	T02557	Chlamydia trachomatis L1/1322/p2
ctrq	T02562	Chlamydia trachomatis A/363
ctrr	T02559	Chlamydia trachomatis L2/25667R
ctrs	T02556	Chlamydia trachomatis E/SotonE8
ctrt	T02561	Chlamydia trachomatis D/SotonD6
ctru	T02548	Chlamydia trachomatis L2b/UCH-2
ctrv	T02554	Chlamydia trachomatis L2b/CV204
ctrw	T02772	Chlamydia trachomatis RC-L2(s)/3
ctrx	T02563	Chlamydia trachomatis A/5291
ctry	T02773	Chlamydia trachomatis RC-L2(s)/46
ctrz	T02564	Chlamydia trachomatis A/7249
cts	T00726	Chloroherpeton thalassium
ctt	T01109	Comamonas thiooxydans
cttj	T02769	Chlamydia trachomatis RC-J/971
ctu	T00999	Cronobacter turicensis
ctv	T01906	Chlamydia trachomatis G/9301
ctw	T01907	Chlamydia trachomatis G/9768
ctx	T01933	Hungateiclostridium thermocellum DSM 1313
cty	T01707	Chlamydia trachomatis A2497
ctyk	T04331	Clostridium tyrobutyricum
ctz	T01327	Chlamydia trachomatis B/TZ1A828/OT
cua	T02457	Corynebacterium urealyticum DSM 7111
cub	T04562	Curtobacterium sp. BH-2-1-1
cuc	T01880	Corynebacterium ulcerans 809
cue	T02171	Corynebacterium ulcerans 0102
cug	T05978	Curtobacterium sp. SGAir0471
cuh	T05121	Cupriavidus necator NH9
cui	T04063	Cronobacter universalis
cuj	T03899	Corynebacterium ulcerans 131002
cul	T01549	Corynebacterium ulcerans BR-AD22
cum	T04180	Curtobacterium sp. MR_MD2014
cun	T03406	Corynebacterium ulcerans 210932
cup	T04978	Cupriavidus sp. USMAA1020
cuq	T03414	Corynebacterium ulcerans 210931
cur	T00685	Corynebacterium urealyticum DSM 7109
cure	T04021	Campylobacter ureolyticus
cus	T03408	Corynebacterium ulcerans FRC11
cut	T03957	Corynebacterium uterequi
cuu	T05072	Cupriavidus sp. USMAA2-4
cuv	T03241	Corynebacterium ureicelerivorans
cuz	T03420	Corynebacterium ulcerans 05146
cva	T01594	Corynebacterium variabile
cvc	T04565	Chromobacterium vaccinii
cvi	T00147	Chromobacterium violaceum
cvo	T03558	Campylobacter volucris
cvr	T02924	Chlorella variabilis
cvt	T03042	Corynebacterium vitaeruminis
cwa	T05097	Crocosphaera watsonii
cwe	T05129	Citrobacter werkmanii
cwo	T01153	Conexibacter woesei
cya	T00318	Synechococcus sp. JA-3-3Ab
cyb	T00319	Synechococcus sp. JA-2-3B'a(2-13)
cyc	T00808	Cyanothece sp. PCC 7424
cyh	T00968	Rippkaea orientalis PCC 8802
cyi	T04888	Cyanobium sp. NIES-981
cyj	T01310	Cyanothece sp. PCC 7822
cyl	T05309	Cyanobacterium sp. HL-69
cyn	T00836	Cyanothece sp. PCC 7425
cyo	T05526	Citrobacter youngae
cyp	T00806	Rippkaea orientalis PCC 8801
cyq	T02265	Cycloclasticus sp. P1
cyt	T00686	Crocosphaera subtropica
cyu	T01159	Candidatus Atelocyanobacterium thalassa
cyy	T05126	Cycloclasticus sp. PY97N
cza	T02780	Cycloclasticus zancles
daa	T04387	Defluviimonas alba
dab	T04259	Deinococcus actinosclerus
dac	T00620	Delftia acidovorans
dae	T00986	Desulfofarcimen acetoxidans
daf	T01662	Desulfovibrio africanus
dai	T02148	Desulfosporosinus acidiphilus
dak	T01244	Desulfurivibrio alkaliphilus
dal	T00813	Desulfatibacillum alkenivorans
dan	T01059	Drosophila ananassae
dao	T01454	Desulfobacca acetoxidans
dap	T01189	Denitrovibrio acetiphilus
dar	T00259	Dechloromonas aromatica
das	T01382	Pseudodesulfovibrio aespoeensis
dat	T00861	Desulfobacterium autotrophicum
dau	T00655	Candidatus Desulforudis audaxviator
dav	T03007	Desulfurella acetivorans
dax	T05964	Desulfoglaeba alkanexedens
daz	T05886	Drosophila arizonae
dba	T00963	Desulfomicrobium baculatum
dbr	T01284	Desulfarculus baarsii
dca	T01498	Desulfotomaculum nigrificans
dch	T04233	Deinococcus soli
dco	T05038	Dermatophilus congolensis
dcr	T05350	Daucus carota (carrot)
dct	T05027	Dendrobium catenatum
dda	T00927	Dickeya paradisiaca
ddc	T01138	Dickeya zeae Ech586
ddd	T01305	Dickeya dadantii 3937
dde	T00294	Desulfovibrio alaskensis
ddf	T01188	Deferribacter desulfuricans
ddh	T02146	Desulfitobacterium dehalogenans
ddi	T00245	Dictyostelium discoideum (cellular slime mold)
ddl	T02390	Desulfitobacterium dichloroeliminans
ddn	T01709	Desulfovibrio desulfuricans ND132
ddo	T04309	Dokdonia donghaensis
ddq	T05141	Dickeya dianthicola
ddr	T00880	Deinococcus deserti
dds	T00837	Desulfovibrio desulfuricans ATCC 27774
ddt	T04382	Denitrobacterium detoxificans
deb	T00518	Dehalococcoides mccartyi BAV1
dec	T02279	Dehalobacter sp. CF
ded	T02278	Dehalobacter sp. DCA
def	T05183	Desulfovibrio sp. G11
deg	T01182	Dehalococcoides mccartyi GT
deh	T00273	Dehalococcoides mccartyi CBDB1
dei	T05346	Devosia sp. I507
dej	T04404	Pseudodesulfovibrio indicus
del	T01497	Delftia sp. Cs1-4
den	T04480	Candidatus Doolittlea endobia
deo	T05339	Desulfobulbus sp. ORNL
deq	T04003	Devosia sp. H5989
der	T01060	Drosophila erecta
des	T04049	Desulfuromonas soudanensis
det	T00223	Dehalococcoides mccartyi 195
deu	T04368	Desulfuromonas sp. DDH964
dev	T01136	Dehalococcoides mccartyi VS
dew	T03938	Dehalogenimonas sp. WBC-2
dey	T05616	Dechloromonas sp. HYN0024
dez	T05530	Deinococcus irradiatisoli
dfa	T02668	Cavenderia fasciculata (cellular slime mold)
dfc	T05674	Deinococcus ficus
dfd	T02136	Desulfurococcus amylolyticus DSM 16532
dfe	T00970	Dyadobacter fermentans
dfg	T04823	Desulfotomaculum ferrireducens
dfi	T04293	Desulfovibrio fairfieldensis
dfl	T05829	Desulfovibrio ferrophilus
dfn	T05277	Dickeya fangzhongdai
dfo	T04654	Dehalogenimonas formicexedens
dge	T00353	Deinococcus geothermalis
dgg	T02851	Desulfovibrio gigas
dgi	T02657	Desulfallas gibsoniae
dgo	T01827	Deinococcus gobiensis
dgr	T01061	Drosophila grimshawi
dha	T01026	Debaryomyces hansenii
dhd	T00822	Desulfitobacterium hafniense DCB-2
dhe	T05888	Drosophila hydei
dhk	T04584	Delftia sp. HK171
dhy	T02428	Desulfovibrio hydrothermalis
dia	T00853	Acidovorax ebreus
din	T01383	Desulfurispirillum indicum
dit	T05390	Dietzia sp. oral taxon 368
diz	T05397	Dietzia sp. JS16-p6b
dja	T03215	Dyella japonica
dji	T03074	Dyella jiangningensis
dka	T00817	Desulfurococcus amylolyticus 1221n
dko	T04377	Dokdonella koreensis
dku	T01499	Desulfofundulus kuznetsovii
dle	T05885	Delphinapterus leucas (beluga whale)
dlu	T05442	Dietzia lutea
dly	T01264	Dehalogenimonas lykanthroporepellens
dma	T00917	Desulfovibrio magneticus
dmc	T02475	Dehalococcoides mccartyi BTF08
dmd	T02476	Dehalococcoides mccartyi DCMB5
dme	T00030	Drosophila melanogaster (fruit fly)
dmg	T02938	Dehalococcoides mccartyi GY50
dmi	T02207	Desulfosporosinus meridiei
dml	T04568	Desulfococcus multivorans
dmo	T01062	Drosophila mojavensis
dmr	T01412	Deinococcus maricopensis
dmt	T03599	Desulfitobacterium metallireducens
dmu	T01406	Desulfurococcus mucosus
dmx	T03647	Dehalococcoides mccartyi CG1
dmy	T03648	Dehalococcoides mccartyi CG4
dmz	T03649	Dehalococcoides mccartyi CG5
dni	T03223	Dermacoccus nishinomiyaensis
dno	T00517	Dichelobacter nodosus
dnv	T05898	Drosophila navojoa
dnx	T04900	Diuraphis noxia (Russian wheat aphid)
doa	T04289	Desulfomicrobium orale
dod	T05432	Dokdonia sp. Dokd-P16
dok	T03275	Dokdonia sp. MED134
dol	T00610	Desulfococcus oleovorans
don	T04589	Donghicola sp. JLT3646
dor	T01675	Desulfosporosinus orientis
dori	T03072	Draconibacterium orientale
dosa	T02163	Oryza sativa japonica (Japanese rice) (RAPDB)
dpa	T04899	Dendroctonus ponderosae (mountain pine beetle)
dpb	T02948	Candidatus Babela massiliensis
dpc	T05437	Dietzia psychralcaliphila
dpd	T02381	Deinococcus peraridilitoris
dpe	T01063	Drosophila persimilis
dpg	T04638	Desulfovibrio piger
dpi	T02481	Pseudodesulfovibrio piezophilus
dpl	T04344	Danaus plexippus (monarch butterfly)
dpn	T04459	Dialister pneumosintes
dpo	T01032	Drosophila pseudoobscura pseudoobscura
dpp	T02090	Dictyostelium purpureum (cellular slime mold)
dpr	T01413	Desulfobulbus propionicus
dps	T00192	Desulfotalea psychrophila
dpt	T01426	Deinococcus proteolyticus
dpte	T05775	Dermatophagoides pteronyssinus (European house dust mite)
dpu	T04339	Deinococcus puniceus
dpx	T04347	Daphnia pulex (common water flea)
dpy	T04937	Diaphorobacter polyhydroxybutyrativorans
dqu	T05610	Dinoponera quadriceps
dra	T00025	Deinococcus radiodurans
dre	T01004	Danio rerio (zebrafish)
drm	T00494	Desulfotomaculum reducens
dro	T05907	Desmodus rotundus (common vampire bat)
drs	T02996	Dehalobacter restrictus
drt	T00989	Desulfohalobium retbaense
dru	T01518	Desulfotomaculum ruminis
dsa	T00969	Desulfovibrio salexigens
dse	T01064	Drosophila sechellia
dsf	T02473	Desulfocapsa sulfexigens
dsh	T00612	Dinoroseobacter shibae
dsi	T01065	Drosophila simulans
dsl	T02378	Dactylococcopsis salina
dso	T04410	Dickeya solani IPO 2222
dsq	T03133	Dichomitus squalens
dsu	T01657	Azospira oryzae
dsw	T03508	Deinococcus swuensis
dsy	T00333	Desulfitobacterium hafniense Y51
dte	T01427	Desulfurobacterium thermolithotrophum
dth	T00774	Dictyoglomus thermophilum
dti	T02147	Desulfomonile tiedjei
dtm	T04608	Dietzia timorensis
dtn	T03867	Defluviitoga tunisiensis
dto	T02268	Desulfobacula toluolica
dtr	T05578	Candidatus Desulfovibrio trichonymphae
dts	T04496	Delftia tsuruhatensis
dtu	T00800	Dictyoglomus turgidum
dtx	T04308	Dyella thiooxydans
duc	T03880	Dehalococcoides sp. UCH007
dun	T05963	Duncaniella sp. B8
dva	T04434	Dermabacter vaginalis
dvg	T02064	Desulfovibrio vulgaris RCH1
dvi	T01066	Drosophila virilis
dvl	T00452	Desulfovibrio vulgaris DP4
dvm	T00816	Desulfovibrio vulgaris Miyazaki F
dvu	T00171	Desulfovibrio vulgaris Hildenborough
dwi	T01067	Drosophila willistoni
dwu	T05579	Deinococcus wulumuqiensis
dya	T01068	Drosophila yakuba
dye	T05846	Dyella sp. M7H15-1
dzc	T03567	Dickeya zeae EC1
dze	T00930	Dickeya chrysanthemi
dzi	T05242	Durio zibethinus (durian)
eaa	T03255	Endosymbiont of Acanthamoeba sp. UWC8
eab	T01995	Escherichia coli ABU 83972
eac	T03061	Peptoclostridium acidaminophilum
ead	T03054	Ensifer adhaerens OV14
eae	T01529	Klebsiella aerogenes KCTC 2190
eah	T04507	Ensifer adhaerens Casida A
eai	T04645	Equus asinus (ass)
eal	T03986	Escherichia albertii
eam	T01197	Erwinia amylovora CFBP1430
ean	T02258	Exiguobacterium antarcticum
eao	T03235	Elizabethkingia anophelis NUHP1
ear	T02447	Klebsiella aerogenes EA1509E
eas	T01604	Enterobacter soli
eat	T00897	Exiguobacterium sp. AT1b
eau	T03084	Enterobacter asburiae L1
eav	T05982	Enterococcus avium
eay	T01199	Erwinia amylovora ATCC 49946
eba	T00222	Aromatoleum aromaticum
ebc	T05417	Enterobacteriaceae bacterium ENNIH2
ebd	T00939	Escherichia coli BL21-Gold(DE3)pLysS AG
ebe	T02096	Escherichia coli BL21(DE3)
ebf	T02431	Enterobacteriaceae bacterium FGI 57
ebh	T04606	Endosymbiont of Bathymodiolus septemdierum
ebi	T01270	Erwinia billingiae
ebl	T00931	Escherichia coli BL21(DE3)
ebm	T05736	Erysipelotrichaceae bacterium SG0102
ebr	T00944	Escherichia coli B REL606
ebs	T04374	Ectothiorhodospira sp. BSL-9
ebt	T02111	Shimwellia blattae
ebu	T05725	Enterobacteriaceae bacterium S05
ebw	T00913	Escherichia coli BW2952
eca	T00186	Pectobacterium atrosepticum SCRI1043
ecan	T05545	Enterobacter cancerogenus
ecas	T02623	Enterococcus casseliflavus
ecb	T01058	Equus caballus (horse)
ecc	T00106	Escherichia coli O6:K2:H1 CFT073 (UPEC)
ecd	T00666	Escherichia coli K-12 DH10B
ece	T00044	Escherichia coli O157:H7 EDL933 (EHEC)
ecf	T00778	Escherichia coli O157:H7 EC4115 (EHEC)
ecg	T00796	Escherichia coli O127:H6 E2348/69 (EPEC)
ech	T00328	Ehrlichia chaffeensis Arkansas
echa	T03085	Ehrlichia chaffeensis Heartland
echj	T03189	Ehrlichia chaffeensis Jax
echl	T03190	Ehrlichia chaffeensis Liberty
echp	T03365	Ehrlichia chaffeensis West Paces
echs	T03191	Ehrlichia chaffeensis Osceola
echv	T03348	Ehrlichia chaffeensis Saint Vincent
echw	T03364	Ehrlichia chaffeensis Wakulla
eci	T00338	Escherichia coli O18:K1:H7 UTI89 (UPEC)
ecj	T00068	Escherichia coli K-12 W3110
eck	T00826	Escherichia coli 55989 (EAEC)
ecl	T00697	Escherichia coli ATCC 8739
ecla	T03350	Enterobacter hormaechei subsp. hoffmannii ECNIH3
eclc	T03378	Enterobacter hormaechei subsp. hoffmannii ECR091
ecle	T03471	Enterobacter cloacae ECNIH2
eclg	T03429	Enterobacter cloacae GGT036
ecli	T03706	Enterobacter cloacae ECNIH5
ecln	T03486	Enterobacter cloacae ECNIH4
eclo	T02615	Enterobacter cloacae subsp. cloacae NCTC 9394
ecls	T04878	Enterobacter cloacae complex sp. 35734
eclx	T03707	Enterobacter hormaechei subsp. xiangfangensis
ecly	T03708	Enterobacter hormaechei subsp. steigerwaltii
eclz	T03709	Enterobacter hormaechei subsp. hormaechei
ecm	T00672	Escherichia coli SMS-3-5 (environmental)
ecn	T00270	Ehrlichia canis
eco	T00007	Escherichia coli K-12 MG1655
ecoa	T02445	Escherichia coli APEC O78
ecog	T06024	Emcibacter congregatus
ecoh	T03011	Escherichia coli O145:H28 RM13516 (EHEC)
ecoi	T02847	Escherichia coli PMV-1
ecoj	T02896	Escherichia coli JJ1886
ecok	T02541	Escherichia coli K-12 MDS42
ecol	T02846	Escherichia coli LY180
ecoo	T03010	Escherichia coli O145:H28 RM13514 (EHEC)
ecor	T05039	Eikenella corrodens
ecos	T04373	Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC)
ecp	T00373	Escherichia coli O6:K15:H31 536 (UPEC)
ecq	T00827	Escherichia coli O81 ED1a (commensal)
ecr	T00828	Escherichia coli O8 IAI1 (commensal)
ecs	T00048	Escherichia coli O157:H7 Sakai (EHEC)
ect	T00829	Escherichia coli O7:K1 IAI39 (ExPEC)
ecu	T00105	Encephalitozoon cuniculi
ecv	T00425	Escherichia coli APEC O1 (APEC)
ecw	T00590	Escherichia coli O139:H28 E24377A (ETEC)
ecx	T00591	Escherichia coli O9 HS (commensal)
ecy	T00784	Escherichia coli O152:H28 SE11 (commensal)
ecz	T00830	Escherichia coli O45:K1:H7 S88 (ExPEC)
edh	T01996	Escherichia coli DH1
edi	T01083	Entamoeba dispar
edj	T02102	Escherichia coli DH1
edl	T04005	Edwardsiella sp. LADL05-105
edu	T04048	Enterococcus durans
edw	T03991	Edwardsiella sp. EA181011
eec	T01652	Enterobacter ludwigii EcWSU1
eee	T05787	Electrophorus electricus (electric eel)
eel	T00908	Eubacterium eligens
een	T04743	Elizabethkingia anophelis JM-87
efa	T00123	Enterococcus faecalis V583
efau	T02788	Enterococcus faecium Aus0085
efc	T01772	Enterococcus faecium Aus0004
efd	T02172	Enterococcus faecalis D32
efe	T00811	Escherichia fergusonii
efi	T01882	Enterococcus faecalis OG1RF
efk	T04221	Candidatus Endolissoclinum faulkneri L5
efl	T01881	Enterococcus faecalis 62
efm	T02454	Enterococcus faecium ATCC 8459 = NRRL B-2354
efn	T03043	Enterococcus faecalis DENG1
efq	T03320	Enterococcus faecalis ATCC 29212
efr	T05222	Entomoplasma freundtii
efs	T02399	Enterococcus faecalis Symbioflor 1
eft	T03257	Enterococcus faecium T110
efu	T02120	Enterococcus faecium DO
efv	T04986	Erythrobacter flavus
ega	T04148	Enterococcus gallinarum
ege	T04258	Erwinia gerundensis
egl	T05553	Echinococcus granulosus
egm	T05037	Elizabethkingia bruuniana
egn	T04581	Erythrobacter gangjinensis
ego	T05036	Elizabethkingia ursingii
egr	T03547	Eucalyptus grandis (rose gum)
egu	T03921	Elaeis guineensis (African oil palm)
egv	T05664	Enterococcus gilvus
egz	T05152	Egretta garzetta (little egret)
eha	T01384	Ethanoligenens harbinense
ehd	T05981	Candidatus Erwinia haradaeae
ehe	T02287	Encephalitozoon hellem
ehh	T03078	Ehrlichia sp. HF
ehi	T00238	Entamoeba histolytica
ehl	T05310	Anaerobutyricum hallii
ehm	T04593	Enterobacter hormaechei CAV1176
eho	T04508	Edwardsiella hoshinae
ehr	T02160	Enterococcus hirae
ehx	T02915	Emiliania huxleyi
eic	T00912	Edwardsiella ictaluri
eih	T01997	Escherichia coli IHE3034
ein	T02238	Encephalitozoon intestinalis
eiv	T04133	Entamoeba invadens
ekb	T04686	Enterobacter kobei
ekf	T02104	Escherichia coli KO11FL
eko	T01718	Escherichia coli KO11FL
ela	T03103	Eutypa lata
elb	T03757	Elizabethkingia miricola
elc	T02003	Escherichia coli clone D i14
eld	T02004	Escherichia coli clone D i2
ele	T00984	Eggerthella lenta
elf	T00854	Escherichia coli LF82
elg	T04719	Enterobacter ludwigii EN-119
elh	T02069	Escherichia coli O78:H11:K80 H10407 (ETEC)
eli	T00315	Erythrobacter litoralis HTCC2594
elj	T05209	Entomoplasma luminosum
ell	T02101	Escherichia coli W
elm	T01336	Eubacterium limosum
eln	T02068	Escherichia coli O83:H1 NRG 857C
elo	T02067	Escherichia coli O44:H18 042 (EAEC)
elp	T02030	Escherichia coli P12b
elq	T04740	Erythrobacter litoralis DSM 8509
elr	T02066	Escherichia coli O55:H7 RM12579 (EPEC)
els	T04894	Esox lucius (northern pike)
elu	T02000	Escherichia coli UM146
elv	T03207	Candidatus Walczuchella monophlebidarum
elw	T02002	Escherichia coli W
elx	T02122	Escherichia coli O157:H7 Xuzhou21 (EHEC)
ema	T05353	Escherichia marmotae
emar	T05677	Euzebyella marina
eme	T03696	Candidatus Evansia muelleri
emg	T04744	Elizabethkingia meningoseptica
emi	T00741	Elusimicrobium minutum
eml	T05235	Entomoplasma melaleucae
emn	T03946	Elizabethkingia anophelis FMS-007
emr	T02967	Ehrlichia muris
emu	T02931	Enterococcus mundtii
ena	T01998	Escherichia coli NA114 (UPEC)
enc	T01231	Enterobacter cloacae subsp. cloacae ATCC 13047
ene	T02585	Enterococcus faecalis 7L76
enf	T04405	Enterobacter sp. FY-07
enl	T02159	Enterobacter cloacae subsp. dissolvens SDM
enm	T04530	Endosymbiont of unidentified scaly snail isolate Monju
eno	T02315	Enterobacter cloacae subsp. cloacae ENHKU01
enr	T02700	Enterobacter sp. R4-368
ent	T00507	Enterobacter sp. 638
enx	T04118	Enterobacter sp. E20
eoc	T01999	Escherichia coli O7:K1 CE10
eoh	T01096	Escherichia coli O103:H2 12009 (EHEC)
eoi	T01097	Escherichia coli O111:H- 11128 (EHEC)
eoj	T01098	Escherichia coli O26:H11 11368 (EHEC)
eok	T01190	Escherichia coli O55:H7 CB9615 (EPEC)
eol	T02272	Emticicia oligotrophica
epa	T05080	Exaiptasia pallida
epe	T05618	Erwinia persicina
epo	T03965	Endomicrobium proavitum
epr	T02121	Erwinia pyrifoliae DSM 12163
epy	T01000	Erwinia pyrifoliae Ep1/96
epz	T04644	Equus przewalskii (Przewalski's horse)
era	T02588	Eubacterium rectale M104/1
erb	T04439	Erysipelotrichaceae bacterium I46
erc	T02237	Eremothecium cymbalariae
ere	T00909	Eubacterium rectale ATCC 33656
erg	T00232	Ehrlichia ruminantium Gardel
erh	T01525	Erysipelothrix rhusiopathiae Fujisawa
eri	T05733	Erysipelothrix sp. 15TAL0474
erj	T01935	Erwinia sp. Ejp617
erk	T05511	Erythrobacter sp. KY5
erl	T04263	Erysipelothrix larvae
ern	T05556	Enterobacter roggenkampii
ero	T03458	Encephalitozoon romaleae
err	T05587	Erythrobacter sp. YH-07
ers	T02688	Erysipelothrix rhusiopathiae SY1027
ert	T02587	Eubacterium rectale DSM 17629
eru	T00224	Ehrlichia ruminantium Welgevonden (South Africa)
erw	T00233	Ehrlichia ruminantium Welgevonden (France)
ery	T03997	Erythrobacter sp. s21-N3
erz	T05860	Egibacter rhizosphaerae
esa	T00586	Cronobacter sakazakii ATCC BAA-894
esc	T01342	Enterobacter lignolyticus SCF1
ese	T02077	Escherichia coli O150:H5 SE15 (commensal)
esi	T00687	Exiguobacterium sibiricum
esj	T05052	Ensifer sojae
esl	T02257	Escherichia coli O104:H4 2011C-3493
esm	T02316	Escherichia coli O104:H4 2009EL-2050
eso	T02256	Escherichia coli O104:H4 2009EL-2071
esr	T02589	Eubacterium siraeum V10Sc8a
ess	T04218	Enterococcus silesiacus
est	T05506	Echinicola strongylocentroti
esu	T02590	Eubacterium siraeum 70/3
esx	T05210	Entomoplasma somnilux
eta	T00711	Erwinia tasmaniensis
etc	T02509	Edwardsiella piscicida C07-087
etd	T02091	Edwardsiella tarda FL6-60
ete	T03245	Edwardsiella anguillarum
eth	T05312	Enterococcus thailandicus
eti	T05087	Candidatus Endomicrobium trichonymphae
etl	T05887	Empidonax traillii (willow flycatcher)
etr	T01121	Edwardsiella tarda EIB202
etw	T00949	Escherichia coli O157:H7 TW14359 (EHEC)
euc	T02586	Faecalitalea cylindroides
eum	T00831	Escherichia coli O17:K52:H18 UMN026 (ExPEC)
eun	T02001	Escherichia coli UMNK88 (ETEC, porcine)
eus	T02985	Eutrema salsugineum
euu	T04038	Eubacterium sulci
evi	T02388	Echinicola vietnamensis
exf	T04821	Enterobacter hormaechei subsp. xiangfangensis
exm	T02903	Exiguobacterium sp. MH3
exu	T04561	Exiguobacterium sp. U13-1
eyy	T01566	Eggerthella sp. YY7918
faa	T01663	Filifactor alocis
fab	T02815	Ficedula albicollis (collared flycatcher)
fac	T02713	Ferroplasma acidarmanus
fae	T02429	Fibrella aestuarina
fai	T04783	Ferroplasma acidiphilum
fal	T00384	Frankia alni
fam	T05631	Ferriphaselus amnicola
far	T04452	Fictibacillus arsenicus
fat	T05621	Flavobacterium arcticum
fau	T01773	Frateuria aurantia
fba	T00953	Flavobacteriaceae bacterium 3519-10
