Herb1	Herb2	Co_ratio	Herb_pair	pValue	Event_ratio	Co_event	Ex_event	Total_event	Co_level	Prob_1to2	Prob_2to1
知母	太子参	0.142857142857143	太子参, 知母	0.0914064365894434	1/6	1	6	7	0	0.333333333333333	0.2
沉香	牡蛎	0.142857142857143	沉香, 牡蛎	0.0914064365894434	1/6	1	6	7	0	0.333333333333333	0.2
大枣	红花	0.142857142857143	大枣, 红花	0.0914064365894434	1/6	1	6	7	0	0.333333333333333	0.2
浮小麦	红花	0.142857142857143	浮小麦, 红花	0.0914064365894434	1/6	1	6	7	0	0.333333333333333	0.2
知母	红花	0.142857142857143	红花, 知母	0.0914064365894434	1/6	1	6	7	0	0.333333333333333	0.2
葶苈子	红花	0.142857142857143	红花, 葶苈子	0.0914064365894434	1/6	1	6	7	0	0.333333333333333	0.2
附子	红花	0.142857142857143	附子, 红花	0.0914064365894434	1/6	1	6	7	0	0.333333333333333	0.2
葶苈子	西洋参	0.142857142857143	葶苈子, 西洋参	0.0914064365894434	1/6	1	6	7	0	0.333333333333333	0.2
桑寄生	党参	0.0833333333333333	党参, 桑寄生	0.0914065982210632	2/22	2	22	24	0	0.5	0.0909090909090909
阿胶	党参	0.0833333333333333	阿胶, 党参	0.0914065982210632	2/22	2	22	24	0	0.5	0.0909090909090909
白芷	羌活	0.0833333333333333	白芷, 羌活	0.0914065982210632	2/22	2	22	24	0	0.5	0.0909090909090909
莪术	羌活	0.0833333333333333	莪术, 羌活	0.0914065982210632	2/22	2	22	24	0	0.5	0.0909090909090909
冬瓜皮	三七	0	冬瓜皮, 三七	0.0918740871647244	0/62	0	62	62	0	0	0
人参	肉桂	0.153846153846154	人参, 肉桂	0.0919897949180927	6/33	6	33	39	0	0.24	0.3
野葛根	半枝莲	0.101449275362319	半枝莲, 野葛根	0.0934155252980715	7/62	7	62	69	0	0.106060606060606	0.7
三七	党参	0.0540540540540541	党参, 三七	0.0934628131413303	4/70	4	70	74	0	0.0714285714285714	0.181818181818182
檀香	干姜	0.0666666666666667	干姜, 檀香	0.09375	1/14	1	14	15	0	1	0.0666666666666667
浙贝母	干姜	0.0666666666666667	干姜, 浙贝母	0.09375	1/14	1	14	15	0	1	0.0666666666666667
竹叶	干姜	0.0666666666666667	干姜, 竹叶	0.09375	1/14	1	14	15	0	1	0.0666666666666667
肉豆蔻	干姜	0.0666666666666667	干姜, 肉豆蔻	0.09375	1/14	1	14	15	0	1	0.0666666666666667
芥子	干姜	0.0666666666666667	干姜, 芥子	0.09375	1/14	1	14	15	0	1	0.0666666666666667
诃子	干姜	0.0666666666666667	干姜, 诃子	0.09375	1/14	1	14	15	0	1	0.0666666666666667
土茯苓	紫石英	0.0666666666666667	土茯苓, 紫石英	0.09375	1/14	1	14	15	0	1	0.0666666666666667
天花粉	紫石英	0.0666666666666667	天花粉, 紫石英	0.09375	1/14	1	14	15	0	1	0.0666666666666667
桑叶	紫石英	0.0666666666666667	桑叶, 紫石英	0.09375	1/14	1	14	15	0	1	0.0666666666666667
瓜蒌	冰片	0.142857142857143	冰片, 瓜蒌	0.0938798373930947	6/36	6	36	42	0	0.375	0.1875
白芍	麦冬	0.0652173913043478	白芍, 麦冬	0.0946824044216628	6/86	6	86	92	0	0.3	0.0769230769230769
柴胡	当归	0.204301075268817	柴胡, 当归	0.0955740540740134	19/74	19	74	93	0	0.678571428571429	0.226190476190476
吴茱萸	枸杞子	0.117647058823529	枸杞子, 吴茱萸	0.0959962175095451	2/15	2	15	17	0	0.25	0.181818181818182
吴茱萸	海螵蛸	0.117647058823529	海螵蛸, 吴茱萸	0.0959962175095451	2/15	2	15	17	0	0.25	0.181818181818182
丹参	三七	0.179245283018868	丹参, 三七	0.0960872068543026	19/87	19	87	106	0	0.27536231884058	0.339285714285714
砂仁	三七	0.179245283018868	三七, 砂仁	0.0960872068543026	19/87	19	87	106	0	0.27536231884058	0.339285714285714
泽泻	五加皮	0.04	五加皮, 泽泻	0.0963050314465407	2/48	2	48	50	0	0.04	1
黄芪	怀牛膝	0	怀牛膝, 黄芪	0.0963050314465407	0/112	0	112	112	0	0	0
泽泻	怀牛膝	0.04	怀牛膝, 泽泻	0.0963050314465407	2/48	2	48	50	0	0.04	1
黄芪	瓦楞子	0	黄芪, 瓦楞子	0.0963050314465407	0/112	0	112	112	0	0	0
黄芪	细辛	0	黄芪, 细辛	0.0963050314465407	0/112	0	112	112	0	0	0
黄芪	蔓荆子	0	黄芪, 蔓荆子	0.0963050314465407	0/112	0	112	112	0	0	0
泽泻	蔓荆子	0.04	蔓荆子, 泽泻	0.0963050314465407	2/48	2	48	50	0	0.04	1
柴胡	丹参	0.0898876404494382	柴胡, 丹参	0.096937785723673	8/81	8	81	89	0	0.285714285714286	0.115942028985507
三七	菊花	0	菊花, 三七	0.0971812476012886	0/63	0	63	63	0	0	0
三七	薏苡仁	0	三七, 薏苡仁	0.0971812476012886	0/63	0	63	63	0	0	0
蒺藜	桑寄生	0.142857142857143	蒺藜, 桑寄生	0.0971936567385552	1/6	1	6	7	0	0.25	0.25
麦芽	桑寄生	0.142857142857143	麦芽, 桑寄生	0.0971936567385552	1/6	1	6	7	0	0.25	0.25
麦芽	莪术	0.142857142857143	莪术, 麦芽	0.0971936567385552	1/6	1	6	7	0	0.25	0.25
紫石英	夜交藤	0.129032258064516	夜交藤, 紫石英	0.0975330425851315	4/27	4	27	31	0	0.266666666666667	0.2
紫石英	肉桂	0.129032258064516	肉桂, 紫石英	0.0975330425851315	4/27	4	27	31	0	0.266666666666667	0.2
桑白皮	吴茱萸	0.111111111111111	桑白皮, 吴茱萸	0.0977987421383648	1/8	1	8	9	0	0.5	0.125
生龙骨	煅牡蛎	0.111111111111111	煅牡蛎, 生龙骨	0.0977987421383648	1/8	1	8	9	0	0.5	0.125
补骨脂	煅牡蛎	0.111111111111111	补骨脂, 煅牡蛎	0.0977987421383648	1/8	1	8	9	0	0.5	0.125
干姜	猪苓	0.105263157894737	干姜, 猪苓	0.0989027132962008	2/17	2	17	19	0	0.133333333333333	0.333333333333333
干姜	苍术	0.105263157894737	苍术, 干姜	0.0989027132962008	2/17	2	17	19	0	0.133333333333333	0.333333333333333
蒲公英	莱菔子	0.08	莱菔子, 蒲公英	0.099201121457225	2/23	2	23	25	0	0.0869565217391304	0.5
枸杞子	泽泻	0.109090909090909	枸杞子, 泽泻	0.0993215362551078	6/49	6	49	55	0	0.545454545454545	0.12
罂粟壳	黄芪	0.0636363636363636	黄芪, 罂粟壳	0.0994562252727686	7/103	7	103	110	0	1	0.0636363636363636
柏子仁	泽泻	0	柏子仁, 泽泻	0.0994562252727686	0/57	0	57	57	0	0	0
薏苡仁	泽泻	0	薏苡仁, 泽泻	0.0994562252727686	0/57	0	57	57	0	0	0
赤芍	泽泻	0	赤芍, 泽泻	0.0994562252727686	0/57	0	57	57	0	0	0
山楂	侧柏叶	0.0625	侧柏叶, 山楂	0.0999999999999998	1/15	1	15	16	0	0.0625	1
瓜蒌	升麻	0.0625	瓜蒌, 升麻	0.0999999999999998	1/15	1	15	16	0	0.0625	1
槟榔	天花粉	0.0625	槟榔, 天花粉	0.0999999999999998	1/15	1	15	16	0	0.0625	1
槟榔	桑叶	0.0625	槟榔, 桑叶	0.0999999999999998	1/15	1	15	16	0	0.0625	1
何首乌	牛黄	0.0625	何首乌, 牛黄	0.0999999999999998	1/15	1	15	16	0	0.0625	1
山楂	牛黄	0.0625	牛黄, 山楂	0.0999999999999998	1/15	1	15	16	0	0.0625	1
瓜蒌	牛黄	0.0625	瓜蒌, 牛黄	0.0999999999999998	1/15	1	15	16	0	0.0625	1
槟榔	石膏	0.0625	槟榔, 石膏	0.0999999999999998	1/15	1	15	16	0	0.0625	1
山楂	车前子	0.0625	车前子, 山楂	0.0999999999999998	1/15	1	15	16	0	0.0625	1
夜交藤	生地	0.15	生地, 夜交藤	0.100711775532034	6/34	6	34	40	0	0.3	0.230769230769231
栀子	菊花	0.111111111111111	菊花, 栀子	0.101615629187547	2/16	2	16	18	0	0.153846153846154	0.285714285714286
延胡索	大黄	0.252873563218391	大黄, 延胡索	0.102572183920311	22/65	22	65	87	0	0.323529411764706	0.536585365853659
冬瓜皮	白术	0.0833333333333333	白术, 冬瓜皮	0.102747041278346	3/33	3	33	36	0	0.5	0.0909090909090909
天麻	白术	0.0833333333333333	白术, 天麻	0.102747041278346	3/33	3	33	36	0	0.5	0.0909090909090909
柴胡	白及	0.09375	白及, 柴胡	0.103281169728585	3/29	3	29	32	0	0.107142857142857	0.428571428571429
柴胡	薏苡仁	0.09375	柴胡, 薏苡仁	0.103281169728585	3/29	3	29	32	0	0.107142857142857	0.428571428571429
木香	干姜	0.122448979591837	干姜, 木香	0.103641746676786	12/86	12	86	98	0	0.126315789473684	0.8
木香	瓜蒌	0.0571428571428571	瓜蒌, 木香	0.104805292995188	6/99	6	99	105	0	0.0631578947368421	0.375
大黄	白芍	0.0338983050847458	白芍, 大黄	0.10488516244133	2/57	2	57	59	0	0.0487804878048781	0.1
北沙参	当归	0	北沙参, 当归	0.104937903033198	0/87	0	87	87	0	0	0
桔梗	当归	0	当归, 桔梗	0.104937903033198	0/87	0	87	87	0	0	0
浮小麦	当归	0	当归, 浮小麦	0.104937903033198	0/87	0	87	87	0	0	0
牛膝	当归	0	当归, 牛膝	0.104937903033198	0/87	0	87	87	0	0	0
葶苈子	当归	0	当归, 葶苈子	0.104937903033198	0/87	0	87	87	0	0	0
远志	当归	0	当归, 远志	0.104937903033198	0/87	0	87	87	0	0	0
大黄	丹皮	0.0333333333333333	大黄, 丹皮	0.105072405019503	2/58	2	58	60	0	0.0487804878048781	0.0952380952380952
淫羊藿	五味子	0.0958904109589041	五味子, 淫羊藿	0.105560045546632	7/66	7	66	73	0	0.7	0.1
陈皮	泽泻	0.0163934426229508	陈皮, 泽泻	0.10587393419636	1/60	1	60	61	0	0.0833333333333333	0.02
香附	泽泻	0.0163934426229508	香附, 泽泻	0.10587393419636	1/60	1	60	61	0	0.0833333333333333	0.02
黄连	甘草	0.545454545454545	甘草, 黄连	0.106118725699036	78/65	78	65	143	0	0.857142857142857	0.6
枳壳	升麻	0.0588235294117647	升麻, 枳壳	0.10625	1/16	1	16	17	0	0.0588235294117647	1
黄柏	土茯苓	0.0588235294117647	黄柏, 土茯苓	0.10625	1/16	1	16	17	0	0.0588235294117647	1
黄柏	天花粉	0.0588235294117647	黄柏, 天花粉	0.10625	1/16	1	16	17	0	0.0588235294117647	1
黄柏	桑叶	0.0588235294117647	黄柏, 桑叶	0.10625	1/16	1	16	17	0	0.0588235294117647	1
枳壳	竹茹	0.0588235294117647	枳壳, 竹茹	0.10625	1/16	1	16	17	0	0.0588235294117647	1
茯苓	羌活	0.0689655172413793	茯苓, 羌活	0.106422308088362	6/81	6	81	87	0	0.0845070422535211	0.272727272727273
钩藤	厚朴	0.0344827586206897	钩藤, 厚朴	0.106608714642461	2/56	2	56	58	0	0.0512820512820513	0.0952380952380952
大腹皮	大黄	0.0697674418604651	大腹皮, 大黄	0.106833366547047	3/40	3	40	43	0	0.6	0.0731707317073171
茯苓	黄连	0.275590551181102	茯苓, 黄连	0.108095246745435	35/92	35	92	127	0	0.492957746478873	0.384615384615385
白术	浮小麦	0.0588235294117647	白术, 浮小麦	0.108239789825651	2/32	2	32	34	0	0.0606060606060606	0.666666666666667
白术	附子	0.0588235294117647	白术, 附子	0.108239789825651	2/32	2	32	34	0	0.0606060606060606	0.666666666666667
蝉蜕	北沙参	0.125	北沙参, 蝉蜕	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
黄精	北沙参	0.125	北沙参, 黄精	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
玄参	大枣	0.125	大枣, 玄参	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
黄精	大枣	0.125	大枣, 黄精	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
佩兰	桔梗	0.125	桔梗, 佩兰	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
黄精	桔梗	0.125	黄精, 桔梗	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
黄精	知母	0.125	黄精, 知母	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
佩兰	远志	0.125	佩兰, 远志	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
冬瓜皮	附子	0.125	冬瓜皮, 附子	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
猪苓	附子	0.125	附子, 猪苓	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
玄参	附子	0.125	附子, 玄参	0.108992118461906	1/7	1	7	8	0	0.166666666666667	0.333333333333333
决明子	茯苓	0.0945945945945946	茯苓, 决明子	0.109933868851657	7/67	7	67	74	0	0.7	0.0985915492957746
蒲公英	砂仁	0.0697674418604651	蒲公英, 砂仁	0.110024149929832	6/80	6	80	86	0	0.260869565217391	0.0869565217391304
桂枝	五味子	0.177215189873418	桂枝, 五味子	0.110453888042653	14/65	14	65	79	0	0.608695652173913	0.2
山楂	佩兰	0.1	佩兰, 山楂	0.111061447299701	2/18	2	18	20	0	0.125	0.333333333333333
何首乌	天麻	0.1	何首乌, 天麻	0.111061447299701	2/18	2	18	20	0	0.125	0.333333333333333
山楂	苍术	0.1	苍术, 山楂	0.111061447299701	2/18	2	18	20	0	0.125	0.333333333333333
瓜蒌	蝉蜕	0.1	蝉蜕, 瓜蒌	0.111061447299701	2/18	2	18	20	0	0.125	0.333333333333333
瓜蒌	延胡索	0.135135135135135	瓜蒌, 延胡索	0.111561008503255	10/64	10	64	74	0	0.625	0.147058823529412
当归	山楂	0.0526315789473684	当归, 山楂	0.111592391089265	5/90	5	90	95	0	0.0595238095238095	0.3125
当归	槟榔	0.0526315789473684	槟榔, 当归	0.111592391089265	5/90	5	90	95	0	0.0595238095238095	0.3125
冰片	大黄	0.19672131147541	冰片, 大黄	0.112152003356145	12/49	12	49	61	0	0.375	0.292682926829268
吴茱萸	防风	0.111111111111111	防风, 吴茱萸	0.112245599768492	2/16	2	16	18	0	0.25	0.166666666666667
煅牡蛎	陈皮	0.111111111111111	陈皮, 煅牡蛎	0.112245599768492	2/16	2	16	18	0	0.25	0.166666666666667
生姜	泽兰	0.0555555555555556	生姜, 泽兰	0.1125	1/17	1	17	18	0	0.0555555555555556	1
苦参	甘松	0.0555555555555556	甘松, 苦参	0.1125	1/17	1	17	18	0	0.0555555555555556	1
生姜	竹叶	0.0555555555555556	生姜, 竹叶	0.1125	1/17	1	17	18	0	0.0555555555555556	1
生姜	车前子	0.0555555555555556	车前子, 生姜	0.1125	1/17	1	17	18	0	0.0555555555555556	1
黄芩	菊花	0.0909090909090909	黄芩, 菊花	0.112780096918435	3/30	3	30	33	0	0.103448275862069	0.428571428571429
夜交藤	淫羊藿	0.111111111111111	夜交藤, 淫羊藿	0.1131397139993	3/24	3	24	27	0	0.15	0.3
三七	香附	0.114754098360656	三七, 香附	0.113403909747431	7/54	7	54	61	0	0.125	0.583333333333333
海螵蛸	茯苓	0.025	茯苓, 海螵蛸	0.113532211700038	2/78	2	78	80	0	0.181818181818182	0.028169014084507
麦冬	北沙参	0.0384615384615385	北沙参, 麦冬	0.113559828039169	3/75	3	75	78	0	0.0384615384615385	1
麦冬	知母	0.0384615384615385	麦冬, 知母	0.113559828039169	3/75	3	75	78	0	0.0384615384615385	1
羌活	当归	0.0816326530612245	当归, 羌活	0.113566895753566	8/90	8	90	98	0	0.363636363636364	0.0952380952380952
泽泻	栀子	0.125	泽泻, 栀子	0.113823744418459	7/49	7	49	56	0	0.14	0.538461538461538
淫羊藿	冰片	0.105263157894737	冰片, 淫羊藿	0.113988670067128	4/34	4	34	38	0	0.4	0.125
五味子	海螵蛸	0.0253164556962025	海螵蛸, 五味子	0.114642260151778	2/77	2	77	79	0	0.0285714285714286	0.181818181818182
吴茱萸	大黄	0	大黄, 吴茱萸	0.114811799707005	0/49	0	49	49	0	0	0
重楼	人参	0.0740740740740741	人参, 重楼	0.115486743164694	2/25	2	25	27	0	0.5	0.08
麦芽	人参	0.0740740740740741	麦芽, 人参	0.115486743164694	2/25	2	25	27	0	0.5	0.08
山楂	黄连	0.0594059405940594	黄连, 山楂	0.11575726739007	6/95	6	95	101	0	0.375	0.0659340659340659
酸枣仁	白术	0.108695652173913	白术, 酸枣仁	0.11578830204241	10/82	10	82	92	0	0.144927536231884	0.303030303030303
海螵蛸	砂仁	0.0256410256410256	海螵蛸, 砂仁	0.116419202925189	2/76	2	76	78	0	0.181818181818182	0.0289855072463768
党参	半夏	0.163636363636364	半夏, 党参	0.117142479603378	9/46	9	46	55	0	0.409090909090909	0.214285714285714
白术	当归	0.125	白术, 当归	0.117550857506075	13/91	13	91	104	0	0.393939393939394	0.154761904761905
薏苡仁	麦冬	0.0119047619047619	麦冬, 薏苡仁	0.117571954839426	1/83	1	83	84	0	0.142857142857143	0.0128205128205128
肉桂	牡蛎	0.0869565217391304	牡蛎, 肉桂	0.118025461519466	2/21	2	21	23	0	0.1	0.4
地龙	连翘	0.0526315789473684	地龙, 连翘	0.11875	1/18	1	18	19	0	1	0.0526315789473684
浙贝母	连翘	0.0526315789473684	连翘, 浙贝母	0.11875	1/18	1	18	19	0	1	0.0526315789473684
芥子	连翘	0.0526315789473684	芥子, 连翘	0.11875	1/18	1	18	19	0	1	0.0526315789473684
紫石英	半夏	0.0178571428571429	半夏, 紫石英	0.118866846382572	1/55	1	55	56	0	0.0666666666666667	0.0238095238095238
砂仁	黄柏	0.0487804878048781	黄柏, 砂仁	0.119660358077394	4/78	4	78	82	0	0.0579710144927536	0.235294117647059
防风	枳壳	0.115384615384615	防风, 枳壳	0.119813200389991	3/23	3	23	26	0	0.25	0.176470588235294
土鳖虫	白芷	0.125	白芷, 土鳖虫	0.120342537335002	1/7	1	7	8	0	0.2	0.25
牡蛎	白芷	0.125	白芷, 牡蛎	0.120342537335002	1/7	1	7	8	0	0.2	0.25
西洋参	莱菔子	0.125	莱菔子, 西洋参	0.120342537335002	1/7	1	7	8	0	0.2	0.25
太子参	重楼	0.125	太子参, 重楼	0.120342537335002	1/7	1	7	8	0	0.2	0.25
牡蛎	重楼	0.125	牡蛎, 重楼	0.120342537335002	1/7	1	7	8	0	0.2	0.25
红花	重楼	0.125	红花, 重楼	0.120342537335002	1/7	1	7	8	0	0.2	0.25
西洋参	重楼	0.125	西洋参, 重楼	0.120342537335002	1/7	1	7	8	0	0.2	0.25
僵蚕	麦芽	0.125	僵蚕, 麦芽	0.120342537335002	1/7	1	7	8	0	0.2	0.25
麦冬	蒺藜	0	蒺藜, 麦冬	0.120766772798425	0/82	0	82	82	0	0	0
木香	罂粟壳	0.02	木香, 罂粟壳	0.121122522265058	2/98	2	98	100	0	0.0210526315789474	0.285714285714286
半枝莲	五加皮	0.0909090909090909	半枝莲, 五加皮	0.121462264150943	1/10	1	10	11	0	0.1	0.5
淫羊藿	生龙骨	0.0909090909090909	生龙骨, 淫羊藿	0.121462264150943	1/10	1	10	11	0	0.1	0.5
淫羊藿	补骨脂	0.0909090909090909	补骨脂, 淫羊藿	0.121462264150943	1/10	1	10	11	0	0.1	0.5
三七	连翘	0.153846153846154	连翘, 三七	0.122566751439898	10/55	10	55	65	0	0.178571428571429	0.526315789473684
泽泻	茯苓	0.287234042553192	茯苓, 泽泻	0.122662770588027	27/67	27	67	94	0	0.54	0.380281690140845
甘草	菊花	0.0300751879699248	甘草, 菊花	0.122671120056748	4/129	4	129	133	0	0.0307692307692308	0.571428571428571
冰片	枸杞子	0	冰片, 枸杞子	0.122706785267353	0/43	0	43	43	0	0	0
水蛭	杏仁	0	水蛭, 杏仁	0.12353918456785	0/46	0	46	46	0	0	0
水蛭	枸杞子	0	枸杞子, 水蛭	0.12353918456785	0/46	0	46	46	0	0	0
玄参	枳壳	0.0952380952380952	玄参, 枳壳	0.123670504784811	2/19	2	19	21	0	0.333333333333333	0.117647058823529
苍术	黄柏	0.0952380952380952	苍术, 黄柏	0.123670504784811	2/19	2	19	21	0	0.333333333333333	0.117647058823529
生地	重楼	0.0714285714285714	生地, 重楼	0.123959092368097	2/26	2	26	28	0	0.0769230769230769	0.5
生地	麦芽	0.0714285714285714	麦芽, 生地	0.123959092368097	2/26	2	26	28	0	0.0769230769230769	0.5
决明子	白术	0	白术, 决明子	0.124205211317391	0/43	0	43	43	0	0	0
半枝莲	白术	0	白术, 半枝莲	0.124205211317391	0/43	0	43	43	0	0	0
淫羊藿	白术	0	白术, 淫羊藿	0.124205211317391	0/43	0	43	43	0	0	0
木香	香附	0.103092783505155	木香, 香附	0.12471990537771	10/87	10	87	97	0	0.105263157894737	0.833333333333333
甘草	防风	0.0923076923076923	防风, 甘草	0.124843014898105	12/118	12	118	130	0	0.0923076923076923	1
甘草	香附	0.0923076923076923	甘草, 香附	0.124843014898105	12/118	12	118	130	0	0.0923076923076923	1
白芍	木瓜	0.05	白芍, 木瓜	0.125	1/19	1	19	20	0	0.05	1
夜交藤	檀香	0.05	檀香, 夜交藤	0.125	1/19	1	19	20	0	0.05	1
肉桂	泽兰	0.05	肉桂, 泽兰	0.125	1/19	1	19	20	0	0.05	1
白芍	浙贝母	0.05	白芍, 浙贝母	0.125	1/19	1	19	20	0	0.05	1
夜交藤	肉豆蔻	0.05	肉豆蔻, 夜交藤	0.125	1/19	1	19	20	0	0.05	1
白芍	芥子	0.05	白芍, 芥子	0.125	1/19	1	19	20	0	0.05	1
夜交藤	诃子	0.05	诃子, 夜交藤	0.125	1/19	1	19	20	0	0.05	1
白芍	青风藤	0.05	白芍, 青风藤	0.125	1/19	1	19	20	0	0.05	1
决明子	大黄	0.108695652173913	大黄, 决明子	0.12569570301339	5/41	5	41	46	0	0.5	0.121951219512195
水蛭	生姜	0.0192307692307692	生姜, 水蛭	0.125762848762402	1/51	1	51	52	0	0.0285714285714286	0.0555555555555556
香附	黄芩	0	黄芩, 香附	0.125874594894012	0/41	0	41	41	0	0	0
知母	川贝母	0.111111111111111	川贝母, 知母	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
葶苈子	川贝母	0.111111111111111	川贝母, 葶苈子	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
北沙参	白及	0.111111111111111	白及, 北沙参	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
浮小麦	白及	0.111111111111111	白及, 浮小麦	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
浮小麦	罂粟壳	0.111111111111111	浮小麦, 罂粟壳	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
知母	罂粟壳	0.111111111111111	罂粟壳, 知母	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
沉香	菊花	0.111111111111111	沉香, 菊花	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
牛膝	菊花	0.111111111111111	菊花, 牛膝	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
远志	薏苡仁	0.111111111111111	薏苡仁, 远志	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
独活	薤白	0.111111111111111	独活, 薤白	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
附子	薤白	0.111111111111111	附子, 薤白	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
远志	赤芍	0.111111111111111	赤芍, 远志	0.126349414855505	1/8	1	8	9	0	0.333333333333333	0.142857142857143
大黄	何首乌	0.14	大黄, 何首乌	0.126395459925393	7/43	7	43	50	0	0.170731707317073	0.4375
大黄	山楂	0.14	大黄, 山楂	0.126395459925393	7/43	7	43	50	0	0.170731707317073	0.4375
大黄	瓜蒌	0.14	大黄, 瓜蒌	0.126395459925393	7/43	7	43	50	0	0.170731707317073	0.4375
冰片	石菖蒲	0	冰片, 石菖蒲	0.126452312248022	0/44	0	44	44	0	0	0
冰片	陈皮	0	冰片, 陈皮	0.126452312248022	0/44	0	44	44	0	0	0
连翘	白术	0.0196078431372549	白术, 连翘	0.126834633832418	1/50	1	50	51	0	0.0526315789473684	0.0303030303030303
冰片	生姜	0.0204081632653061	冰片, 生姜	0.12696527659607	1/48	1	48	49	0	0.03125	0.0555555555555556
甘草	杜仲	0.0522388059701493	杜仲, 甘草	0.127060866163241	7/127	7	127	134	0	0.0538461538461538	0.636363636363636
川芎	苦参	0.0679611650485437	川芎, 苦参	0.127873180085513	7/96	7	96	103	0	0.0760869565217391	0.388888888888889
夜交藤	黄芩	0.0208333333333333	黄芩, 夜交藤	0.128393735908861	1/47	1	47	48	0	0.05	0.0344827586206897
肉桂	黄芩	0.0208333333333333	黄芩, 肉桂	0.128393735908861	1/47	1	47	48	0	0.05	0.0344827586206897
白术	石菖蒲	0	白术, 石菖蒲	0.129020735108416	0/45	0	45	45	0	0	0
栀子	吴茱萸	0.105263157894737	吴茱萸, 栀子	0.129253552698005	2/17	2	17	19	0	0.153846153846154	0.25
半枝莲	半夏	0.106382978723404	半夏, 半枝莲	0.129555655774117	5/42	5	42	47	0	0.5	0.119047619047619
莪术	茯苓	0	莪术, 茯苓	0.129809624573483	0/75	0	75	75	0	0	0
生地	酸枣仁	0.1875	生地, 酸枣仁	0.130174344974913	15/65	15	65	80	0	0.576923076923077	0.217391304347826
当归	黄柏	0.134831460674157	当归, 黄柏	0.130548559441625	12/77	12	77	89	0	0.142857142857143	0.705882352941177
何首乌	蒲公英	0	何首乌, 蒲公英	0.130683465443715	0/39	0	39	39	0	0	0
山楂	蒲公英	0	蒲公英, 山楂	0.130683465443715	0/39	0	39	39	0	0	0
瓜蒌	蒲公英	0	瓜蒌, 蒲公英	0.130683465443715	0/39	0	39	39	0	0	0
何首乌	党参	0	党参, 何首乌	0.130706535558614	0/38	0	38	38	0	0	0
生姜	黄连	0.0686274509803922	黄连, 生姜	0.130771823147202	7/95	7	95	102	0	0.388888888888889	0.0769230769230769
生姜	砂仁	0.144736842105263	砂仁, 生姜	0.130771823147202	11/65	11	65	76	0	0.611111111111111	0.159420289855072
白及	干姜	0.1	白及, 干姜	0.130957557487245	2/18	2	18	20	0	0.285714285714286	0.133333333333333
罂粟壳	紫石英	0.1	罂粟壳, 紫石英	0.130957557487245	2/18	2	18	20	0	0.285714285714286	0.133333333333333
瓜蒌	半夏	0.137254901960784	半夏, 瓜蒌	0.131028452874821	7/44	7	44	51	0	0.4375	0.166666666666667
当归	苦参	0.0625	当归, 苦参	0.131179880333292	6/90	6	90	96	0	0.0714285714285714	0.333333333333333
苦参	夜交藤	0	苦参, 夜交藤	0.131213258835147	0/38	0	38	38	0	0	0
丹皮	侧柏叶	0.0476190476190476	侧柏叶, 丹皮	0.13125	1/20	1	20	21	0	0.0476190476190476	1
丹皮	土茯苓	0.0476190476190476	丹皮, 土茯苓	0.13125	1/20	1	20	21	0	0.0476190476190476	1
厚朴	檀香	0.0476190476190476	厚朴, 檀香	0.13125	1/20	1	20	21	0	0.0476190476190476	1
厚朴	牛黄	0.0476190476190476	厚朴, 牛黄	0.13125	1/20	1	20	21	0	0.0476190476190476	1
厚朴	甘松	0.0476190476190476	甘松, 厚朴	0.13125	1/20	1	20	21	0	0.0476190476190476	1
丹皮	石膏	0.0476190476190476	丹皮, 石膏	0.13125	1/20	1	20	21	0	0.0476190476190476	1
厚朴	肉豆蔻	0.0476190476190476	厚朴, 肉豆蔻	0.13125	1/20	1	20	21	0	0.0476190476190476	1
厚朴	诃子	0.0476190476190476	诃子, 厚朴	0.13125	1/20	1	20	21	0	0.0476190476190476	1
丹皮	青风藤	0.0476190476190476	丹皮, 青风藤	0.13125	1/20	1	20	21	0	0.0476190476190476	1
